Model,Test,Few(n),n,Prompt,r,ex_selector,s,bleu,sari_add,sari_keep,sari_del,sari,fkgl,pbert_ref,rbert_ref,F1_bert_ref,pbert_src,rbert_src,F1_bert_src,ppl_mean,ppl_std,LENS,LENS_std,intra_dist1,intra_dist2,inter_dist1,inter_dist2,c_ratio,splits,lev_sim,copies,adds,deletes,lex_complexity
bloomz,asset-test,asset-valid,3,p2,1,random,95829907.66666667,72.71,5.35,60.8,46.73,37.63,8.27,82.3,83.54,82.06,85.25,81.37,83.29,98.08,113.91,61.07,13.12,90.54,98.82,36.77,79.69,1.03,1.25,0.86,0.17,0.12,0.15,8.56
openai-text-ada-001,asset-test,asset-valid,3,p2,1,random,163095907.66666666,79.54,2.59,60.11,39.2,33.97,9.06,81.69,83.6,81.76,86.26,81.88,84.01,120.01,143.99,56.41,17.87,90.96,98.43,39.22,85.07,0.94,1.04,0.89,0.28,0.09,0.15,8.53
flan-t5-small,asset-test,asset-valid,3,p1,1,random,95829907.66666667,81.78,2.24,59.89,40.97,34.37,8.52,83.13,81.99,81.63,86.96,79.83,83.34,115.84,131.88,56.68,17.15,91.37,98.77,39.95,86.37,0.9,1.08,0.89,0.28,0.07,0.17,8.52
llama-65b,asset-test,asset-valid,3,p2,1,random,95829907.66666667,72.04,5.67,60.57,49.53,38.59,8.07,82.04,83.06,81.59,83.64,78.45,81.0,100.04,112.94,62.9,13.43,90.99,98.87,36.38,79.77,1.0,1.22,0.84,0.16,0.13,0.18,8.51
openai-text-babbage-001,asset-test,asset-valid,3,p0,1,random,163095907.66666666,77.7,4.56,60.53,49.47,38.19,8.6,82.69,82.51,81.59,84.13,77.38,80.69,100.69,115.84,61.3,14.7,91.29,98.86,39.89,85.63,0.92,1.07,0.84,0.14,0.11,0.2,8.53
openai-text-davinci-003,asset-test,asset-valid,3,p0,1,random,163095907.66666666,70.74,10.73,60.53,68.27,46.51,7.37,82.78,81.71,80.93,77.38,67.32,72.3,122.41,174.34,67.91,12.75,92.54,99.19,40.54,87.28,0.82,1.09,0.73,0.0,0.17,0.34,8.51
opt-iml-max-1.3b,asset-test,asset-valid,3,p0,1,random,95829907.66666667,83.66,1.75,57.6,40.97,33.44,8.26,82.93,80.43,80.63,87.42,77.08,82.1,121.48,157.33,61.04,14.94,92.32,99.0,40.51,85.15,0.87,1.06,0.86,0.43,0.06,0.2,8.52
llama-65b,asset-test,asset-valid,3,p0,1,random,95829907.66666667,76.63,5.31,60.21,49.94,38.49,7.79,81.24,81.64,80.45,82.76,76.67,79.63,110.24,132.22,61.3,15.34,91.15,98.9,38.64,83.89,0.91,1.15,0.84,0.14,0.12,0.2,8.51
flan-t5-large,asset-test,asset-valid,3,p2,1,random,95829907.66666667,75.47,6.78,60.05,59.69,42.17,6.78,82.79,80.35,80.44,81.1,70.45,75.69,117.51,163.43,63.35,16.57,91.05,98.81,39.73,86.25,0.83,1.26,0.8,0.07,0.13,0.27,8.5
openai-gpt-3.5-turbo,asset-test,asset-valid,3,p0,1,random,163095907.66666666,67.22,13.18,60.18,69.21,47.52,7.55,80.69,82.45,80.25,74.69,68.35,71.5,101.69,118.83,68.64,12.52,91.94,99.17,38.59,85.81,0.88,1.14,0.71,0.0,0.23,0.32,8.43
flan-t5-large,asset-test,asset-valid,3,p0,1,random,95829907.66666667,81.11,4.4,57.89,55.08,39.12,7.34,84.22,77.89,79.95,82.96,67.41,74.99,149.12,299.92,63.66,15.73,93.08,98.98,42.24,87.73,0.76,1.08,0.79,0.13,0.07,0.3,8.53
opt-iml-max-1.3b,asset-test,asset-valid,3,p2,1,random,95829907.66666667,79.26,2.55,57.54,47.91,36.0,7.66,83.0,79.02,79.73,86.24,73.5,79.69,123.75,170.08,61.31,15.48,92.4,98.91,39.71,83.83,0.86,1.14,0.83,0.31,0.07,0.23,8.5
opt-iml-max-30b,asset-test,asset-valid,3,p0,1,random,95829907.66666667,79.51,5.19,58.57,57.1,40.29,7.13,83.22,78.87,79.7,83.06,69.01,75.86,130.03,285.57,64.06,15.41,93.11,99.31,40.91,86.08,0.79,1.1,0.8,0.12,0.09,0.28,8.5
flan-t5-base,asset-test,asset-valid,3,p2,1,random,95829907.66666667,76.42,5.79,59.5,58.91,41.4,7.32,82.49,79.2,79.7,81.09,69.44,75.17,118.91,136.04,62.75,15.6,92.25,98.75,40.26,86.66,0.81,1.12,0.8,0.06,0.11,0.28,8.48
openai-text-davinci-003,asset-test,asset-valid,3,p2,1,random,163095907.66666666,63.09,11.71,59.02,69.11,46.61,7.73,80.48,81.25,79.56,75.41,68.16,71.77,101.31,135.35,67.45,12.1,92.2,99.24,39.21,86.2,0.86,1.07,0.72,0.0,0.23,0.34,8.44
opt-iml-max-30b,asset-test,asset-valid,3,p2,1,random,95829907.66666667,74.09,6.69,59.37,60.04,42.03,6.62,82.54,78.64,79.39,80.87,68.13,74.36,117.66,133.16,65.29,15.32,91.99,98.96,38.16,81.18,0.85,1.27,0.78,0.08,0.12,0.29,8.49
openai-gpt-3.5-turbo,asset-test,asset-valid,3,p2,1,random,163095907.66666666,62.71,13.88,58.64,70.55,47.69,7.51,79.65,81.75,79.39,73.6,67.77,70.67,95.97,116.89,69.17,12.56,91.96,99.22,37.53,85.28,0.89,1.12,0.7,0.0,0.26,0.34,8.4
bloomz-7b1,asset-test,asset-valid,3,p0,1,random,95829907.66666667,72.38,4.23,58.85,49.69,37.59,8.6,79.81,80.58,79.25,82.72,77.22,79.93,105.33,135.56,59.3,14.92,91.5,98.96,38.88,84.07,0.93,1.07,0.84,0.18,0.13,0.2,8.51
opt-13b,asset-test,asset-valid,3,p0,1,random,95829907.66666667,73.18,4.9,58.82,51.95,38.56,8.01,80.5,79.99,79.24,82.0,74.29,78.06,96.94,105.48,60.35,15.99,90.69,98.62,38.84,84.62,0.9,1.14,0.83,0.15,0.14,0.22,8.5
bloomz-7b1,asset-test,asset-valid,3,p2,1,random,95829907.66666667,68.75,4.01,58.36,48.77,37.05,8.56,79.89,80.24,79.09,82.8,76.78,79.74,103.85,109.75,59.14,14.52,91.24,98.87,37.28,79.98,1.0,1.16,0.84,0.17,0.12,0.19,8.54
opt-13b,asset-test,asset-valid,3,p2,1,random,95829907.66666667,69.93,5.22,58.69,52.42,38.78,8.03,80.33,79.86,79.08,81.73,73.97,77.76,99.9,115.6,60.51,15.46,90.6,98.49,37.65,81.88,0.96,1.2,0.83,0.14,0.14,0.22,8.51
llama-30b,asset-test,asset-valid,3,p0,1,random,95829907.66666667,73.59,5.7,59.31,52.43,39.15,7.22,79.75,80.31,78.94,80.35,73.67,76.91,106.4,137.23,62.34,15.72,90.68,98.52,37.82,82.64,0.9,1.19,0.81,0.15,0.14,0.23,8.49
llama-30b,asset-test,asset-valid,3,p2,1,random,95829907.66666667,68.86,5.56,59.08,52.77,39.14,7.32,79.51,80.26,78.74,79.91,73.07,76.39,106.03,138.82,62.73,14.96,90.82,98.73,35.94,78.92,0.98,1.3,0.81,0.14,0.15,0.23,8.49
flan-t5-large,asset-test,asset-valid,3,p1,1,random,95829907.66666667,77.51,5.12,58.4,57.84,40.45,7.09,82.6,77.45,78.66,82.04,67.99,74.87,126.62,150.35,62.8,15.81,92.37,98.91,41.41,87.25,0.78,1.14,0.79,0.09,0.09,0.3,8.52
flan-t5-base,asset-test,asset-valid,3,p1,1,random,95829907.66666667,79.24,3.37,58.58,48.73,36.89,8.38,80.61,78.72,78.6,82.16,73.22,77.61,130.37,172.25,58.09,17.51,92.42,98.94,40.79,87.06,0.85,1.05,0.83,0.16,0.09,0.23,8.55
openai-text-ada-001,asset-test,asset-valid,3,p0,1,random,163095907.66666666,76.54,3.2,59.36,45.79,36.11,8.7,78.59,79.84,78.22,81.52,75.9,78.64,235.25,1992.11,55.36,19.39,91.09,98.69,39.4,85.77,0.92,1.06,0.85,0.21,0.12,0.2,8.46
flan-t5-xl,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,68.48,2.5,66.25,35.58,34.78,8.41,81.5,75.67,78.2,89.94,80.75,85.27,90.78,94.8,63.42,12.83,92.94,99.51,32.79,83.05,0.87,1.04,0.88,0.25,0.05,0.18,8.63
opt-30b,asset-test,asset-valid,3,p0,1,random,95829907.66666667,73.13,4.79,58.56,49.72,37.69,8.09,78.78,78.92,77.86,80.48,73.65,76.99,97.91,112.76,59.78,16.62,90.35,98.52,38.49,84.03,0.93,1.14,0.83,0.17,0.14,0.22,8.51
bloom-7b1,asset-test,asset-valid,3,p2,1,random,95829907.66666667,62.64,4.26,58.91,47.71,36.96,8.17,77.16,80.41,77.82,79.7,77.21,78.37,97.98,136.88,57.37,16.33,89.22,97.89,35.54,77.95,1.14,1.36,0.83,0.14,0.16,0.17,8.54
bloom-7b1,asset-test,asset-valid,3,p0,1,random,95829907.66666667,66.55,4.17,58.34,48.64,37.05,8.06,77.48,79.54,77.55,79.95,76.02,77.9,100.08,133.62,57.12,16.89,89.85,98.22,37.58,82.53,1.03,1.24,0.83,0.14,0.16,0.19,8.52
opt-66b,asset-test,asset-valid,3,p0,1,random,95829907.66666667,71.65,5.2,57.63,55.15,39.32,7.64,79.18,77.56,77.26,79.79,70.12,74.86,107.37,181.01,61.55,16.11,91.46,98.91,39.06,84.91,0.86,1.12,0.8,0.1,0.14,0.26,8.49
flan-t5-small,asset-test,asset-valid,3,p2,1,random,95829907.66666667,72.77,3.94,57.48,54.3,38.57,7.58,79.44,77.28,77.26,80.3,70.09,75.11,126.65,150.43,54.8,19.93,91.75,98.75,40.17,86.18,0.85,1.17,0.83,0.12,0.12,0.26,8.53
opt-30b,asset-test,asset-valid,3,p2,1,random,95829907.66666667,68.2,4.97,58.34,50.82,38.04,8.17,77.98,78.51,77.22,79.43,72.87,76.08,94.7,112.83,60.01,16.34,90.1,98.49,36.89,80.65,0.99,1.21,0.81,0.14,0.16,0.22,8.52
flan-t5-xxl,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,66.78,3.19,66.12,39.0,36.11,8.54,80.11,74.87,77.09,87.89,79.45,83.61,85.85,81.94,64.66,12.03,92.76,99.49,32.66,82.92,0.88,1.04,0.87,0.25,0.08,0.19,8.63
opt-66b,asset-test,asset-valid,3,p2,1,random,95829907.66666667,66.19,5.35,57.77,55.81,39.64,7.76,78.25,77.41,76.72,78.72,70.06,74.3,99.16,110.55,61.68,15.36,91.23,98.88,37.36,80.98,0.94,1.2,0.79,0.08,0.16,0.26,8.51
bloomz-1b1,asset-test,asset-valid,3,p2,1,random,95829907.66666667,71.06,2.28,57.91,44.81,35.0,8.42,77.95,77.58,76.66,81.91,74.69,78.22,128.42,211.26,54.86,18.28,91.3,98.6,37.29,79.53,0.99,1.18,0.84,0.35,0.11,0.2,8.53
bloom,asset-test,asset-valid,3,p2,1,random,95829907.66666667,62.77,5.71,58.53,54.93,39.72,7.78,76.81,78.5,76.63,77.33,72.36,74.79,100.16,121.68,60.37,15.13,90.33,98.7,36.47,79.38,1.03,1.3,0.79,0.03,0.18,0.23,8.54
opt-6.7b,asset-test,asset-valid,3,p2,1,random,95829907.66666667,66.63,4.16,57.57,54.19,38.64,7.79,78.3,77.18,76.62,79.52,69.86,74.57,103.75,120.76,61.26,15.5,91.27,98.73,37.49,79.96,0.94,1.21,0.8,0.16,0.14,0.25,8.54
flan-t5-base,asset-test,asset-valid,3,p0,1,random,95829907.66666667,76.51,3.94,56.64,55.87,38.82,7.57,80.54,74.98,76.53,80.35,65.92,72.97,131.55,184.18,60.63,17.52,92.97,98.85,41.67,87.64,0.78,1.06,0.78,0.11,0.09,0.3,8.53
gpt-j-6b,asset-test,asset-valid,3,p2,1,random,95829907.66666667,64.81,4.79,57.43,54.35,38.86,7.83,77.84,77.4,76.48,78.67,69.78,74.14,102.59,138.61,60.13,15.88,90.82,98.6,36.55,79.58,0.97,1.24,0.8,0.09,0.15,0.25,8.5
flan-t5-xl,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,65.49,2.34,64.91,37.66,34.97,8.47,79.29,73.88,76.18,87.35,78.57,82.88,108.74,144.52,60.56,13.99,93.03,99.57,33.11,82.96,0.87,1.04,0.87,0.16,0.07,0.2,8.67
llama-13b,asset-test,asset-valid,3,p2,1,random,95829907.66666667,65.29,5.61,57.23,58.49,40.45,7.33,78.41,76.21,76.13,77.59,67.09,72.21,113.22,144.84,62.95,14.89,91.84,98.89,37.09,79.78,0.92,1.24,0.77,0.09,0.15,0.29,8.51
bloomz-1b1,asset-test,asset-valid,3,p0,1,random,95829907.66666667,75.24,2.37,57.58,45.98,35.31,8.22,77.59,76.82,76.08,81.28,73.59,77.33,123.69,149.06,54.28,18.9,91.19,98.4,39.47,83.99,0.91,1.1,0.83,0.32,0.11,0.22,8.51
bloom,asset-test,asset-valid,3,p0,1,random,95829907.66666667,66.99,5.55,57.49,55.82,39.62,7.45,76.8,77.2,75.91,76.76,69.67,73.13,114.08,201.56,59.94,16.75,90.88,98.75,38.88,84.23,0.92,1.22,0.78,0.03,0.16,0.26,8.52
llama-13b,asset-test,asset-valid,3,p0,1,random,95829907.66666667,69.83,5.9,57.22,59.01,40.71,6.97,78.16,75.99,75.89,76.92,66.4,71.53,123.29,224.09,62.43,16.54,91.49,98.64,38.89,83.89,0.84,1.16,0.77,0.1,0.15,0.3,8.5
bloomz-3b,asset-test,asset-valid,3,p2,1,random,95829907.66666667,67.67,3.02,57.48,46.72,35.74,8.73,76.18,77.6,75.86,79.5,74.56,76.99,106.22,148.2,56.78,16.61,90.68,98.52,36.84,79.58,1.01,1.16,0.83,0.25,0.14,0.2,8.53
gpt-neox-20b,asset-test,asset-valid,3,p2,1,random,95829907.66666667,64.1,4.69,56.95,55.48,39.04,8.04,77.55,76.53,75.81,78.22,68.97,73.49,100.84,112.37,60.87,14.84,91.33,98.92,37.21,79.75,0.97,1.21,0.78,0.08,0.15,0.25,8.5
gpt-neox-20b,asset-test,asset-valid,3,p0,1,random,95829907.66666667,68.84,4.7,57.2,55.13,39.01,7.88,77.62,76.29,75.74,78.31,68.79,73.45,104.3,132.74,59.87,16.24,91.12,98.8,38.96,84.07,0.89,1.13,0.79,0.09,0.15,0.26,8.49
opt-1.3b,asset-test,asset-valid,3,p0,1,random,95829907.66666667,72.02,1.82,57.33,40.11,33.08,8.73,75.75,77.42,75.66,80.48,76.0,78.16,103.51,141.52,56.39,16.55,90.33,98.22,38.2,82.91,0.98,1.12,0.84,0.49,0.13,0.19,8.52
opt-1.3b,asset-test,asset-valid,3,p2,1,random,95829907.66666667,67.47,1.86,57.22,39.95,33.01,8.61,75.36,77.55,75.57,80.02,76.28,78.08,100.2,132.32,57.08,15.47,90.41,98.32,36.36,78.63,1.07,1.22,0.84,0.47,0.14,0.18,8.55
llama-7b,asset-test,asset-valid,3,p2,1,random,95829907.66666667,61.54,5.92,56.98,59.2,40.7,7.39,77.12,76.38,75.52,76.38,67.26,71.68,108.33,147.2,62.8,15.38,91.24,98.37,35.91,78.0,0.95,1.24,0.77,0.05,0.17,0.28,8.5
flan-t5-xl,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,62.47,4.88,64.55,43.1,37.51,7.25,78.06,73.7,75.5,85.27,77.78,81.49,92.37,98.29,64.39,13.42,91.83,99.33,31.48,81.95,0.89,1.25,0.85,0.11,0.12,0.21,8.6
opt-6.7b,asset-test,asset-valid,3,p0,1,random,95829907.66666667,68.23,4.32,56.21,54.59,38.37,7.55,77.04,75.88,75.32,78.02,68.5,73.15,106.48,129.9,59.84,16.28,91.09,98.6,38.66,84.12,0.88,1.15,0.79,0.15,0.15,0.27,8.51
bloomz-3b,asset-test,asset-valid,3,p0,1,random,95829907.66666667,72.96,3.03,57.13,48.46,36.2,8.64,76.29,76.39,75.31,79.21,72.75,75.92,106.41,122.36,57.09,16.22,92.0,99.1,39.41,84.64,0.91,1.04,0.82,0.27,0.14,0.23,8.5
llama-7b,asset-test,asset-valid,3,p0,1,random,95829907.66666667,67.9,5.57,56.29,57.98,39.95,7.16,76.88,75.56,75.06,76.44,66.36,71.29,111.17,192.1,61.81,16.31,91.62,98.95,38.93,84.33,0.85,1.16,0.77,0.07,0.16,0.3,8.5
gpt-j-6b,asset-test,asset-valid,3,p0,1,random,95829907.66666667,68.05,4.8,56.51,55.94,39.08,7.61,76.99,75.51,75.04,77.56,67.43,72.4,107.38,143.91,59.31,17.26,91.2,98.82,38.65,84.23,0.87,1.14,0.78,0.09,0.16,0.28,8.47
flan-ul2,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,63.92,4.09,65.36,46.3,38.58,7.3,78.45,71.8,74.67,84.58,74.52,79.45,98.6,117.36,64.46,12.59,92.82,99.49,32.74,82.81,0.85,1.13,0.84,0.12,0.09,0.23,8.63
flan-ul2,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,62.68,4.37,64.5,49.27,39.38,7.1,79.75,69.6,74.15,85.66,71.52,78.44,88.91,88.11,65.99,12.15,93.5,99.51,33.15,83.53,0.81,1.12,0.82,0.14,0.08,0.26,8.6
cohere-command-light,asset-test,asset-valid,3,p1,1,random,489.0,67.5,5.47,57.23,56.76,39.82,8.04,74.62,75.35,73.79,74.52,67.33,70.84,174.4,507.48,54.01,20.1,91.28,98.82,39.85,86.06,0.88,1.11,0.78,0.06,0.17,0.28,8.45
openai-text-davinci-002,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,58.5,5.77,63.5,49.11,39.46,7.64,76.62,71.95,73.73,82.21,73.88,77.98,77.26,69.3,67.98,10.65,92.43,99.46,30.54,81.04,0.88,1.15,0.8,0.14,0.14,0.24,8.56
openai-text-davinci-002,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,57.66,6.83,64.12,49.8,40.25,7.46,75.14,72.97,73.62,80.35,75.23,77.77,70.82,61.4,68.58,10.07,91.82,99.42,29.16,80.12,0.94,1.25,0.8,0.11,0.18,0.23,8.51
flan-t5-xxl,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,62.42,3.36,63.99,42.85,36.73,8.27,76.31,71.35,73.36,83.66,75.36,79.43,93.84,87.54,62.46,13.34,92.97,99.55,32.81,82.49,0.87,1.04,0.84,0.14,0.11,0.23,8.65
opt-iml-max-1.3b,asset-test,asset-valid,3,p1,1,random,95829907.66666667,77.56,2.02,59.24,36.39,32.55,8.15,70.4,77.7,73.27,74.74,77.82,76.25,131.97,139.92,49.09,14.8,91.53,99.04,38.42,82.09,0.96,1.09,0.9,0.01,0.14,0.16,8.57
flan-ul2,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,57.5,6.25,63.34,51.22,40.27,6.86,76.51,70.65,73.23,81.86,72.84,77.3,92.93,101.55,66.42,12.07,91.9,99.41,31.43,82.08,0.87,1.29,0.81,0.04,0.14,0.26,8.57
openai-text-davinci-002,asset-test,asset-valid,3,p1,1,random,163095907.66666666,73.89,7.86,61.12,57.61,42.2,7.29,70.35,77.85,73.2,69.77,70.59,70.17,132.1,138.69,56.6,13.94,92.31,99.07,37.74,81.72,0.91,1.11,0.81,0.0,0.2,0.26,8.5
flan-t5-xxl,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,56.88,5.45,63.11,49.69,39.42,7.32,76.13,70.72,73.05,81.94,73.46,77.66,88.91,83.43,65.13,12.78,92.06,99.42,31.34,82.4,0.87,1.22,0.82,0.08,0.14,0.26,8.59
flan-t5-small,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,60.64,2.07,62.46,42.66,35.73,8.37,75.81,69.61,72.33,83.99,74.43,79.13,101.6,110.55,57.39,18.07,93.02,99.46,33.66,83.91,0.86,1.03,0.85,0.23,0.08,0.22,8.63
bloom-3b,asset-test,asset-valid,3,p2,1,random,95829907.66666667,52.68,3.87,57.66,49.91,37.15,7.92,70.05,76.79,72.28,72.46,72.6,72.39,94.47,150.91,54.34,17.63,87.63,97.31,33.61,76.43,1.25,1.56,0.78,0.16,0.22,0.19,8.53
bloomz-3b,asset-test,asset-valid,3,p1,1,random,95829907.66666667,72.73,2.74,58.38,42.41,34.51,8.55,68.79,75.76,71.4,72.26,74.77,73.5,140.99,263.84,48.77,15.36,91.64,99.1,38.29,81.74,0.97,1.04,0.87,0.05,0.17,0.19,8.56
openai-text-curie-001,asset-test,asset-valid,3,p1,1,random,163095907.66666666,68.73,6.41,59.14,55.16,40.24,7.42,68.15,75.71,70.99,68.4,70.24,69.31,123.94,142.11,52.69,14.82,91.1,98.82,37.28,81.17,0.94,1.14,0.81,0.0,0.22,0.25,8.5
bloomz,asset-test,asset-valid,3,p1,1,random,95829907.66666667,66.96,5.64,58.7,52.3,38.88,7.52,67.87,75.48,70.96,69.66,73.69,71.68,127.48,160.51,50.16,14.69,90.93,99.06,37.39,80.65,0.97,1.16,0.85,0.0,0.21,0.22,8.52
bloom-3b,asset-test,asset-valid,3,p0,1,random,95829907.66666667,54.51,3.75,56.39,52.27,37.47,7.7,69.4,74.51,70.76,71.34,69.57,70.34,99.44,181.02,54.01,18.96,88.14,97.36,35.68,80.62,1.12,1.44,0.78,0.14,0.23,0.23,8.51
bloomz-7b1,asset-test,asset-valid,3,p1,1,random,95829907.66666667,67.57,4.02,58.02,48.1,36.71,8.23,67.79,75.19,70.7,70.7,74.19,72.44,124.29,128.8,49.17,14.89,91.2,98.98,37.63,81.18,0.98,1.09,0.86,0.01,0.2,0.2,8.53
opt-iml-max-30b,asset-test,asset-valid,3,p1,1,random,95829907.66666667,73.73,4.46,58.33,53.36,38.72,7.07,68.84,73.91,70.36,70.14,68.58,69.32,146.19,208.71,52.08,16.0,92.43,99.1,38.31,81.81,0.87,1.09,0.83,0.01,0.17,0.27,8.53
openai-text-ada-001,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,61.45,2.19,63.9,37.17,34.42,8.66,70.68,70.62,70.33,78.94,76.3,77.57,104.74,245.51,55.06,19.38,90.99,98.87,31.47,81.73,0.99,1.1,0.84,0.27,0.15,0.18,8.54
flan-t5-large,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,55.2,4.41,61.96,50.87,39.08,6.9,74.08,67.45,70.27,80.01,69.35,74.61,94.48,93.25,62.7,15.11,91.83,99.35,31.65,82.38,0.84,1.24,0.8,0.08,0.13,0.28,8.61
cohere-command-light,asset-test,asset-valid,3,p0,1,random,489.0,62.26,5.85,55.4,61.39,40.88,7.58,71.4,71.55,70.24,69.38,60.73,64.95,194.19,391.68,55.37,22.53,92.69,99.24,40.66,87.25,0.87,1.14,0.73,0.05,0.18,0.33,8.43
